epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6138,1.38439,3.12649,1.43578,0.00997,0.85485,0.20297,0.10658,1.49176,3.09448,1.694,0.00019089,0.00019089,0.00019089
2,22.6428,1.14933,1.66187,1.2986,0.8942,0.19373,0.37108,0.21257,1.48781,2.50468,1.62471,0.000387,0.000387,0.000387
3,33.982,1.13562,1.30384,1.25614,0.81832,0.33901,0.37657,0.2304,1.46028,2.04894,1.64093,0.000579151,0.000579151,0.000579151
4,44.2053,1.07777,1.19557,1.23106,0.8028,0.39118,0.48585,0.30753,1.35666,1.76721,1.57774,0.000767342,0.000767342,0.000767342
5,55.6388,1.08688,1.1893,1.22016,0.8551,0.38844,0.57694,0.36371,1.47118,1.80715,1.6412,0.000873004,0.000873004,0.000873004
6,66.2174,1.06602,1.09622,1.19466,0.57471,0.52308,0.54621,0.33927,1.46312,1.66996,1.7041,0.000864004,0.000864004,0.000864004
7,76.5938,1.04143,1.05889,1.17114,0.86896,0.43427,0.59492,0.37322,1.46146,1.69314,1.69051,0.000855005,0.000855005,0.000855005
8,87.6137,1.02612,1.02897,1.16769,0.65763,0.58025,0.62867,0.41362,1.44358,1.50415,1.6754,0.000846006,0.000846006,0.000846006
9,98.5191,0.97304,0.97564,1.1477,0.7548,0.50809,0.60381,0.36817,1.37472,1.41466,1.5877,0.000837007,0.000837007,0.000837007
10,109.642,1.00563,0.92881,1.13999,0.78635,0.50001,0.63992,0.3846,1.50411,1.62814,1.68363,0.000828008,0.000828008,0.000828008
11,120.275,0.93331,0.87636,1.11977,0.62776,0.64539,0.65391,0.42201,1.45985,1.46408,1.60458,0.000819009,0.000819009,0.000819009
12,131.176,0.94426,0.87711,1.10176,0.71965,0.6039,0.695,0.44911,1.37079,1.41187,1.61069,0.00081001,0.00081001,0.00081001
13,142.172,0.92228,0.84144,1.09026,0.71303,0.52046,0.69049,0.43707,1.41116,1.54402,1.65759,0.000801011,0.000801011,0.000801011
14,154.614,0.94618,0.82419,1.0875,0.76575,0.52736,0.66518,0.41223,1.41316,1.64039,1.57093,0.000792012,0.000792012,0.000792012
15,165.662,0.95713,0.84374,1.08762,0.78463,0.60342,0.82899,0.48667,1.32074,1.31668,1.48734,0.000783013,0.000783013,0.000783013
16,176.607,0.89782,0.7978,1.08403,0.75833,0.69411,0.81457,0.53088,1.30298,1.14305,1.4409,0.000774013,0.000774013,0.000774013
17,187.585,0.89351,0.77572,1.06548,0.79767,0.55456,0.75993,0.48452,1.44638,1.37727,1.60897,0.000765014,0.000765014,0.000765014
18,198.33,0.8782,0.74563,1.06143,0.83206,0.63341,0.78487,0.45133,1.46818,1.34358,1.7561,0.000756015,0.000756015,0.000756015
19,209.407,0.91864,0.73442,1.06863,0.7395,0.74909,0.80431,0.5065,1.30011,1.19445,1.49147,0.000747016,0.000747016,0.000747016
20,219.38,0.88056,0.71091,1.06085,0.86461,0.78963,0.83774,0.57944,1.30647,1.31895,1.42325,0.000738017,0.000738017,0.000738017
21,230.568,0.8872,0.70573,1.05579,0.61099,0.76201,0.81244,0.54621,1.25645,1.27936,1.41877,0.000729018,0.000729018,0.000729018
22,241.48,0.86977,0.71206,1.05562,0.78863,0.75611,0.82759,0.51121,1.32141,1.11844,1.48457,0.000720019,0.000720019,0.000720019
23,253.03,0.84819,0.69627,1.04181,0.7035,0.78063,0.80878,0.51216,1.29416,1.43544,1.50894,0.00071102,0.00071102,0.00071102
24,262.935,0.90552,0.69677,1.04994,0.62667,0.80651,0.82179,0.50262,1.27866,1.42832,1.46805,0.000702021,0.000702021,0.000702021
25,273.864,0.86376,0.68004,1.03847,0.72938,0.79438,0.85847,0.54953,1.20199,1.2882,1.42341,0.000693022,0.000693022,0.000693022
26,284.638,0.85553,0.65067,1.04302,0.87411,0.77013,0.83873,0.52931,1.3559,1.15311,1.55579,0.000684022,0.000684022,0.000684022
27,296.661,0.84097,0.66576,1.04631,0.79232,0.78709,0.80315,0.51333,1.3913,1.11983,1.59874,0.000675023,0.000675023,0.000675023
28,308.624,0.85193,0.65351,1.04029,0.81886,0.78135,0.84524,0.56457,1.27024,1.09487,1.44262,0.000666024,0.000666024,0.000666024
29,319.172,0.85621,0.64736,1.02899,0.73776,0.84253,0.83309,0.52277,1.37605,1.19473,1.58148,0.000657025,0.000657025,0.000657025
30,330.237,0.83472,0.63701,1.03554,0.81957,0.80145,0.84126,0.55941,1.27219,1.09691,1.40909,0.000648026,0.000648026,0.000648026
