epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1085,1.36325,3.06092,1.41025,0.01196,0.89382,0.24413,0.15188,1.34339,3.07829,1.65224,0.00019089,0.00019089,0.00019089
2,24.3756,1.12988,1.59576,1.27006,0.89191,0.23455,0.36999,0.24667,1.34036,2.47261,1.57685,0.000387,0.000387,0.000387
3,35.7907,1.13061,1.26932,1.24126,0.9135,0.30838,0.3863,0.25979,1.45507,2.19401,1.6958,0.000579151,0.000579151,0.000579151
4,47.3568,1.06435,1.16761,1.20812,0.7453,0.3878,0.48339,0.30997,1.38194,1.98175,1.58119,0.000767342,0.000767342,0.000767342
5,58.3954,1.06435,1.14907,1.20555,0.67995,0.51553,0.64877,0.37851,1.60584,1.97539,1.83786,0.000873004,0.000873004,0.000873004
6,68.3014,1.05229,1.05305,1.19091,0.64676,0.38139,0.46076,0.31927,1.48968,2.06705,1.6974,0.000864004,0.000864004,0.000864004
7,78.9479,1.04522,1.0277,1.17519,0.77344,0.44951,0.65558,0.39643,1.54313,1.89583,1.88921,0.000855005,0.000855005,0.000855005
8,90.167,1.0439,1.00275,1.17488,0.75705,0.69289,0.74192,0.47032,1.49506,1.49906,1.72271,0.000846006,0.000846006,0.000846006
9,100.877,0.96532,0.92868,1.14103,0.71218,0.63876,0.67894,0.44364,1.32818,1.55681,1.57176,0.000837007,0.000837007,0.000837007
10,111.632,0.97879,0.87369,1.12368,0.79632,0.36496,0.5881,0.33783,1.57869,1.84964,1.83203,0.000828008,0.000828008,0.000828008
11,121.804,0.91722,0.82917,1.10798,0.48757,0.6303,0.62174,0.36265,1.34378,1.73363,1.51181,0.000819009,0.000819009,0.000819009
12,132.482,0.92659,0.84536,1.09503,0.61824,0.67871,0.66567,0.43408,1.31512,1.55457,1.55296,0.00081001,0.00081001,0.00081001
13,142.915,0.92173,0.82164,1.08776,0.77511,0.73864,0.79907,0.51459,1.38831,1.49387,1.68537,0.000801011,0.000801011,0.000801011
14,152.531,0.94546,0.79864,1.08387,0.77597,0.67006,0.78137,0.51058,1.31496,1.45331,1.57424,0.000792012,0.000792012,0.000792012
15,163.413,0.95086,0.81404,1.07914,0.82418,0.78179,0.82959,0.50614,1.36306,1.20309,1.7623,0.000783013,0.000783013,0.000783013
16,174.39,0.88395,0.76943,1.06942,0.73894,0.76392,0.80621,0.53422,1.27842,1.40842,1.48544,0.000774013,0.000774013,0.000774013
17,185.628,0.88324,0.74815,1.0529,0.81104,0.69474,0.75539,0.48157,1.27148,1.28739,1.51219,0.000765014,0.000765014,0.000765014
18,196.188,0.86496,0.72043,1.05153,0.70411,0.81119,0.7933,0.53749,1.32645,1.39546,1.50065,0.000756015,0.000756015,0.000756015
19,207.058,0.89389,0.71027,1.04954,0.78464,0.75251,0.79074,0.53302,1.21771,1.24311,1.44547,0.000747016,0.000747016,0.000747016
20,218.235,0.85917,0.69103,1.04269,0.88975,0.71158,0.83458,0.54001,1.25085,1.32474,1.50652,0.000738017,0.000738017,0.000738017
21,228.338,0.85318,0.6651,1.03258,0.74458,0.84238,0.84326,0.54936,1.27047,1.26322,1.47327,0.000729018,0.000729018,0.000729018
22,238.08,0.85566,0.67517,1.04068,0.78766,0.67761,0.80427,0.53509,1.25916,1.18859,1.46559,0.000720019,0.000720019,0.000720019
23,249.161,0.83648,0.66575,1.03797,0.7645,0.75846,0.83467,0.55687,1.3431,1.15112,1.54849,0.00071102,0.00071102,0.00071102
24,259.378,0.87906,0.65615,1.0357,0.80041,0.7383,0.80343,0.55382,1.2222,1.37111,1.43379,0.000702021,0.000702021,0.000702021
25,270.334,0.84831,0.64707,1.0284,0.84133,0.79185,0.83527,0.55856,1.17556,1.2419,1.4411,0.000693022,0.000693022,0.000693022
26,280.197,0.82277,0.62261,1.02394,0.85872,0.73079,0.83944,0.58084,1.18071,1.17341,1.43217,0.000684022,0.000684022,0.000684022
27,290.939,0.83477,0.64068,1.04314,0.80344,0.79571,0.83175,0.52336,1.24422,1.09439,1.39641,0.000675023,0.000675023,0.000675023
28,301.787,0.82884,0.62523,1.02948,0.89233,0.80405,0.86831,0.57036,1.23327,0.97911,1.43774,0.000666024,0.000666024,0.000666024
29,312.757,0.84277,0.61514,1.01499,0.82334,0.83354,0.83465,0.52712,1.31935,1.20852,1.50814,0.000657025,0.000657025,0.000657025
30,322.548,0.8155,0.59602,1.01917,0.77121,0.85872,0.86172,0.56377,1.2974,1.0931,1.47418,0.000648026,0.000648026,0.000648026
31,333.32,0.82883,0.60907,1.02318,0.79267,0.7998,0.82547,0.54407,1.32294,1.1826,1.45052,0.000639027,0.000639027,0.000639027
32,345.567,0.82768,0.59752,1.01825,0.88768,0.7756,0.84327,0.56403,1.21913,1.10892,1.37902,0.000630028,0.000630028,0.000630028
33,356.746,0.82551,0.58701,1.00144,0.83355,0.81912,0.86163,0.58014,1.27401,0.94341,1.48102,0.000621029,0.000621029,0.000621029
34,366.902,0.79576,0.58805,1.00756,0.90972,0.79703,0.86743,0.54046,1.35839,1.24636,1.51901,0.00061203,0.00061203,0.00061203
35,377.101,0.81516,0.57632,1.01441,0.79997,0.76803,0.83637,0.54657,1.25239,1.11448,1.4577,0.000603031,0.000603031,0.000603031
36,388.103,0.78486,0.57866,1.00006,0.74857,0.83857,0.82858,0.55559,1.26009,1.11979,1.4495,0.000594031,0.000594031,0.000594031
37,398.605,0.79213,0.55801,0.99951,0.8314,0.75461,0.81667,0.53611,1.27319,1.08829,1.50763,0.000585032,0.000585032,0.000585032
38,408.106,0.77703,0.54752,0.98501,0.84184,0.77278,0.81837,0.53678,1.28422,1.22845,1.45559,0.000576033,0.000576033,0.000576033
39,418.748,0.76388,0.54198,0.98792,0.86561,0.78828,0.83476,0.55108,1.25243,1.04274,1.46635,0.000567034,0.000567034,0.000567034
40,429.835,0.7773,0.55869,0.99892,0.83528,0.82693,0.86391,0.56629,1.19049,0.98893,1.42342,0.000558035,0.000558035,0.000558035
41,439.945,0.74617,0.53657,0.99159,0.86239,0.77586,0.84451,0.59434,1.19053,1.10017,1.42497,0.000549036,0.000549036,0.000549036
42,449.837,0.7496,0.55217,0.99866,0.84624,0.81608,0.85973,0.61235,1.16637,0.94629,1.35887,0.000540037,0.000540037,0.000540037
43,461.083,0.75932,0.53224,0.98423,0.87363,0.84791,0.89246,0.59529,1.18657,0.90713,1.37859,0.000531038,0.000531038,0.000531038
44,471.867,0.7557,0.53483,0.98855,0.91712,0.83555,0.88847,0.58418,1.22704,0.98156,1.4558,0.000522039,0.000522039,0.000522039
45,482.522,0.7349,0.52278,0.98431,0.91579,0.80759,0.86069,0.58086,1.21865,0.94843,1.44074,0.00051304,0.00051304,0.00051304
46,494.258,0.77615,0.53739,0.98592,0.77045,0.84397,0.84393,0.5513,1.13248,1.0777,1.37692,0.00050404,0.00050404,0.00050404
47,504.812,0.75714,0.52008,0.98395,0.8261,0.84044,0.85403,0.56967,1.13679,0.97022,1.37957,0.000495041,0.000495041,0.000495041
48,515.551,0.73638,0.50796,0.97669,0.84496,0.85929,0.89067,0.60873,1.10436,0.8659,1.34014,0.000486042,0.000486042,0.000486042
49,526.593,0.75841,0.52321,0.98563,0.86208,0.83153,0.86499,0.59151,1.16385,0.94676,1.38196,0.000477043,0.000477043,0.000477043
50,536.083,0.7469,0.52548,0.98205,0.84683,0.82324,0.84942,0.57212,1.24692,1.02408,1.51959,0.000468044,0.000468044,0.000468044
51,546.595,0.73421,0.50114,0.97194,0.79947,0.77246,0.78467,0.53542,1.2861,1.20561,1.58079,0.000459045,0.000459045,0.000459045
52,557.734,0.72041,0.50058,0.96884,0.83172,0.81184,0.85336,0.60159,1.12944,0.90446,1.36353,0.000450046,0.000450046,0.000450046
