epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,480.382,0.7455,0.56077,0.99496,0.85704,0.77751,0.80015,0.52372,1.35356,1.06375,1.54094,0.000540037,0.000540037,0.000540037
43,491.281,0.75773,0.54335,0.98424,0.84631,0.77968,0.83566,0.56628,1.26812,1.0144,1.50915,0.000531038,0.000531038,0.000531038
44,501.612,0.7636,0.54837,0.99036,0.66626,0.76401,0.79061,0.52098,1.2745,1.08456,1.47631,0.000522039,0.000522039,0.000522039
45,511.682,0.74321,0.54413,0.98555,0.7892,0.71917,0.78854,0.496,1.32132,1.38296,1.48758,0.00051304,0.00051304,0.00051304
46,522.346,0.78568,0.56674,0.99297,0.82391,0.77176,0.82854,0.55531,1.23922,1.13837,1.45185,0.00050404,0.00050404,0.00050404
47,534.184,0.76345,0.54356,0.9868,0.80104,0.77222,0.82557,0.56311,1.21647,1.33011,1.3869,0.000495041,0.000495041,0.000495041
48,544.926,0.73762,0.53032,0.97809,0.83421,0.83373,0.85507,0.58473,1.18208,1.02943,1.42713,0.000486042,0.000486042,0.000486042
49,555.245,0.75464,0.53971,0.98467,0.8696,0.79934,0.86865,0.59099,1.12166,0.94195,1.39,0.000477043,0.000477043,0.000477043
50,565.786,0.73537,0.53327,0.97649,0.90189,0.79664,0.83276,0.55614,1.19587,1.1556,1.43944,0.000468044,0.000468044,0.000468044
51,576.86,0.7438,0.5215,0.97695,0.83393,0.83682,0.84411,0.52745,1.23704,1.15683,1.49953,0.000459045,0.000459045,0.000459045
52,587.462,0.73898,0.517,0.97679,0.85733,0.72782,0.80865,0.57869,1.15682,1.04767,1.37538,0.000450046,0.000450046,0.000450046
53,597.544,0.74873,0.51225,0.97667,0.87526,0.78487,0.84814,0.57591,1.13313,0.99,1.34416,0.000441047,0.000441047,0.000441047
54,609.814,0.71539,0.51042,0.97224,0.86794,0.78214,0.84736,0.55422,1.20018,0.98007,1.42307,0.000432048,0.000432048,0.000432048
55,620.895,0.73958,0.49792,0.97193,0.87492,0.7978,0.83762,0.56729,1.20461,1.04408,1.44867,0.000423049,0.000423049,0.000423049
56,631.838,0.73437,0.49516,0.96973,0.86481,0.79713,0.82603,0.55005,1.19178,1.11591,1.4394,0.000414049,0.000414049,0.000414049
57,642.918,0.74337,0.50072,0.97546,0.83086,0.77913,0.80482,0.56604,1.1817,1.03622,1.41916,0.00040505,0.00040505,0.00040505
58,653.239,0.70921,0.48799,0.96803,0.79336,0.82126,0.80697,0.56629,1.21862,1.11624,1.45559,0.000396051,0.000396051,0.000396051
59,663.535,0.73088,0.50087,0.97988,0.87308,0.80176,0.82244,0.56411,1.17108,0.98678,1.42826,0.000387052,0.000387052,0.000387052
60,674.195,0.7119,0.48492,0.9636,0.88094,0.75233,0.83836,0.56131,1.1849,1.00706,1.4052,0.000378053,0.000378053,0.000378053
61,684.827,0.69722,0.47326,0.96064,0.82385,0.79667,0.81646,0.55254,1.23737,1.06125,1.43387,0.000369054,0.000369054,0.000369054
62,695.006,0.70295,0.47648,0.96443,0.8538,0.69996,0.79142,0.55245,1.18596,1.04409,1.39986,0.000360055,0.000360055,0.000360055
63,706.239,0.70848,0.48306,0.96541,0.8184,0.75559,0.8057,0.56104,1.12746,1.03718,1.38405,0.000351056,0.000351056,0.000351056
64,717.377,0.70283,0.47524,0.96252,0.8152,0.81528,0.81238,0.54511,1.25652,1.12852,1.55209,0.000342057,0.000342057,0.000342057
65,728.616,0.69729,0.47871,0.96809,0.85314,0.7802,0.83955,0.57013,1.22777,1.02988,1.49431,0.000333058,0.000333058,0.000333058
66,738.649,0.68962,0.47177,0.9555,0.85517,0.79869,0.84791,0.56567,1.21775,1.01998,1.4566,0.000324058,0.000324058,0.000324058
67,749.076,0.70213,0.47803,0.96025,0.8383,0.83588,0.83313,0.55162,1.24793,0.99536,1.51865,0.000315059,0.000315059,0.000315059
68,760.981,0.64305,0.45364,0.95299,0.85452,0.83595,0.83941,0.55895,1.28622,0.97834,1.52348,0.00030606,0.00030606,0.00030606
69,771.863,0.70818,0.46868,0.95382,0.84689,0.83889,0.85498,0.56655,1.20293,0.99074,1.44618,0.000297061,0.000297061,0.000297061
70,782.491,0.69894,0.47353,0.95527,0.86277,0.79448,0.83497,0.58673,1.20873,1.08,1.45953,0.000288062,0.000288062,0.000288062
71,793.383,0.66073,0.45111,0.96047,0.81111,0.8241,0.82735,0.56194,1.14954,1.00905,1.41576,0.000279063,0.000279063,0.000279063
72,804.539,0.65992,0.44724,0.94361,0.841,0.82835,0.82185,0.54081,1.20793,1.02036,1.49105,0.000270064,0.000270064,0.000270064
73,815.945,0.69636,0.47377,0.94986,0.83264,0.82003,0.82884,0.53708,1.20058,1.04948,1.4749,0.000261065,0.000261065,0.000261065
74,826.132,0.67747,0.45664,0.94946,0.82054,0.81943,0.82257,0.58089,1.23193,1.06628,1.47382,0.000252066,0.000252066,0.000252066
